Название Скважины,ГЗУ,Связь,Статус работы,Тип Скважины,"Qж (факт), т/сут","Qж (4 часа), т/сут","Рлин, атм","Тлин, °C","Работа, ч",Комментарии
740,ГЗУ-5 ввг,1783943403.33,Stop,Srp,41.759215437275095,41.79891967569076,,,-,
741,ГЗУ-5 ввг,1783943174.855,Running,Pcp,34.78073797360013,35.2449111838163,,,-,
749,ГЗУ-12а ввг,1783943402.729,,Pcp,26.459960317324978,29.29187877575587,,,-,
750,ГЗУ-12а ввг,1783943181.435,,Pcp,36.19381399336801,36.1608151960314,,,-,
752,ГЗУ-5 ввг,1778292035.654,,Pcp,null,null,,,-,
753,ГЗУ-5 ввг,1783940262.863,Stop,Pcp,9.442180498405987,9.554078029854207,,,-,
755,ГЗУ-5 ввг,1783942003.088,,Pcp,0,0,,,-,
756,ГЗУ-5 ввг,1783942357.81,Stop,Srp,20.660837499400056,21.926366407339984,,,-,
757,ГЗУ-5 ввг,1783943155.375,Stop,Pcp,42.325443191628814,42.26769760886569,,,-,
758,ГЗУ-5 ввг,1783943124.471,Stop,Pcp,27.96919208251924,27.828141045577198,,,-,
761,ГЗУ-12а ввг,1783943063.682,Stop,Pcp,14.544153179562317,14.63962409182329,,,-,
765,ГЗУ-5 ввг,1783943023.862,,Pcp,17.879385416975477,17.99972541106428,,,-,
766,ГЗУ-5 ввг,1783940746.767,Stop,Pcp,9.315968293017466,9.353973029240118,,,-,
767,ГЗУ-5 ввг,1783941879.516,,Srp,34.631272689130554,34.72788705485554,,,-,
768,ГЗУ-5 ввг,1783943374.809,,Srp,30.991367084216293,30.859075400543606,,,-,
769,ГЗУ-5 ввг,1783943513.049,Stop,Pcp,6.110950289398196,5.8133428271820105,,,-,
770,ГЗУ-5 ввг,1783942357.133,Stop,Srp,34.73847857941197,34.596485953686646,,,-,
771,ГЗУ-5 ввг,1783942945.388,Stop,Pcp,37.103314903673116,36.35176430759123,,,-,
772,ГЗУ-5 ввг,1783942581.507,Running,Srp,41.1224975381675,40.947061449243016,,,-,
786,ГЗУ-5 ввг,1783942547.964,Stop,Srp,41.48212802609131,41.63031072977904,,,-,
787,ГЗУ-5 ввг,1783940413.359,Stop,Srp,28.66127982097897,28.68828637825926,,,-,
789,ГЗУ-5 ввг,1783942928.222,Stop,Srp,15.294780976513874,15.254134677886166,,,-,
790,ГЗУ-5 ввг,1783943400.77,Stop,Srp,24.68890777780569,24.822195455864524,,,-,
791,ГЗУ-5 ввг,1783927560.334,Stop,Srp,32.28241717878537,null,,,-,
794,ГЗУ-12а ввг,1783943109.856,,Pcp,24.13859742281836,24.233220657021178,,,-,
798,ГЗУ-12а ввг,1783942512.519,Running,Srp,37.12120765536669,36.96419352542701,,,-,
803,ГЗУ-12а ввг,1783942576.999,Running,Srp,13.601257169790825,14.431862984151467,,,-,
805,ГЗУ-12 ввг,1783943042.832,,Pcp,4.267671691152801,4.244818371972697,,,-,
807,ГЗУ-12 ввг,1783942625.549,Stop,Pcp,27.033281794954902,26.87242729713308,,,-,
809,ГЗУ-12 ввг,1783943400.307,,Srp,0.7918316085233994,6.819138715181111,,,-,
833,ГЗУ-12 ввг,1783939922.703,Stop,Srp,31.24844556498939,30.928070683497644,,,-,
834,ГЗУ-12 ввг,1777082442.222,Stop,Pcp,null,null,,,-,
835,ГЗУ-12 ввг,1783943235.295,Running,Srp,7.421528251154686,7.610735886147299,,,-,
838,ГЗУ-12 ввг,1783943425.704,Stop,Pcp,7.650892029096973,8.334806048304861,,,-,
839,ГЗУ-12 ввг,1783942785.247,Stop,Srp,31.381004931263792,30.857941534094476,,,-,
850,ГЗУ-12 ввг,1783942323.781,Stop,Pcp,52.763046692514244,52.89426325225469,,,-,
851,ГЗУ-12 ввг,1783941993.264,Stop,Pcp,83.8906741898576,83.58427607832472,,,-,
852,ГЗУ-12 ввг,1783942838.954,Running,Pcp,29.705990930999782,28.971499768972194,,,-,
854,ГЗУ-12 ввг,1783943132.835,Stop,Srp,43.14690617224926,42.69541995578926,,,-,
856,ГЗУ-12 ввг,1783943060.554,Stop,Srp,54.24667766273498,54.03053377165717,,,-,
857,ГЗУ-12 ввг,1783943056.904,Running,Pcp,41.62650030055839,41.885954684246656,,,-,
869,ГЗУ-12а ввг,1783942814.644,,Pcp,9.40766047863171,9.585095058298782,,,-,
870,ГЗУ-12а ввг,1783942596.158,Stop,Srp,48.05992981991884,48.10784432231032,,,-,
875,ГЗУ-12 ввг,1782040865.038,Stop,Pcp,null,null,,,-,
878,ГЗУ-5 ввг,1783942643.834,Stop,Srp,40.9929422583418,40.413431739480174,,,-,
892,ГЗУ-5 ввг,1783943316.274,Stop,Srp,16.430577792435184,16.515409722600204,,,-,
893,ГЗУ-12 ввг,1777976041.419,,Pcp,null,null,,,-,
894,ГЗУ-12 ввг,1783942336.491,Stop,Pcp,22.84318691265471,22.98706856584374,,,-,
895,ГЗУ-12 ввг,1783939998.008,Stop,Pcp,29.300624783178797,29.258614813689594,,,-,
898,ГЗУ-12 ввг,1783942836.451,Stop,Pcp,19.18700073727489,19.18020851834138,,,-,
900,ГЗУ-12 ввг,1783942979.685,Stop,Srp,0,0,,,-,
903,ГЗУ-12а ввг,1782352831.93,Stop,Pcp,null,null,,,-,
910,ГЗУ-12а ввг,1783943160.668,Stop,Srp,24.0330507325089,23.874685091934253,,,-,
911,ГЗУ-12а ввг,1783942482.883,Stop,Pcp,37.54213940609045,37.55651242481865,,,-,
